corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
jinghpaw	nga	0001	#	#	#nc	#nc				
jinghpaw	nga	0001	maumwi-gabaw	story-title	nc	nc				
jinghpaw	nga	0001	=gaw	=TOP	nc	nc				
jinghpaw	nga	0001	nga	cow	nc	nc				
jinghpaw	nga	0001	lagu	steal	nc	nc				
jinghpaw	nga	0001	=ai	=DECL.NMLZ	nc	nc				
jinghpaw	nga	0001	masha	person	nc	nc				
jinghpaw	nga	0001	=a	=GEN	nc	nc				
jinghpaw	nga	0001	lam	story	nc	nc				
jinghpaw	nga	0001	nga	say	nc	nc				
jinghpaw	nga	0001	rai	COP	nc	nc				
jinghpaw	nga	0001	=nga	=CONT	nc	nc				
jinghpaw	nga	0002	#	#	##	##				
jinghpaw	nga	0002	kalang	once	np:other	np		other		
jinghpaw	nga	0002	mi	one	rn_qfr	rn_qfr				
jinghpaw	nga	0002	=na	=GEN	=rn	=rn				
jinghpaw	nga	0002	=hta	=LOC	=rn	=rn				
jinghpaw	nga	0003	ndai	well	other	other				
jinghpaw	nga	0004	hkauna-la	paddy.field-man	np.h:dt_a	np	h	dt_a	1001	new
jinghpaw	nga	0004	langai	one	rn_qfr	rn_qfr				
jinghpaw	nga	0004	mi	one	rn_qfr	rn_qfr				
jinghpaw	nga	0004	=wagaw	=TOP	=other	=other				
jinghpaw	nga	0004	shi	3SG	pro.h:a	pro	h	a	1001	
jinghpaw	nga	0004	=gaw	=TOP	=other	=other				
jinghpaw	nga	0004	nga	cow	np:obl	np		obl	1002	new
jinghpaw	nga	0004	=hte	=COM	=rn	=rn				
jinghpaw	nga	0004	ndai	well	other	other				
jinghpaw	nga	0004	hkauna	paddy.field	np:p	np		p	1003	bridging
jinghpaw	nga	0004	galaw	do	v:pred	v		pred		
jinghpaw	nga	0004	=ai	=DECL	=rv	=rv				
jinghpaw	nga	0004	=i	=SFP	=other	=other				
jinghpaw	nga	0005	#	#	##	##				
jinghpaw	nga	0005	0	0	0.h:a	0	h	a	1001	
jinghpaw	nga	0005	hkauna	paddy.field	np:p	np		p	1003	
jinghpaw	nga	0005	galaw	do	v:pred	v		pred		
jinghpaw	nga	0005	rai	LV	rv	rv				
jinghpaw	nga	0005	=taw	=CONT	=other	=other				
jinghpaw	nga	0005	=she	=then	=other	=other				
jinghpaw	nga	0006	#	#	##	##				
jinghpaw	nga	0006	jahpawt-daw	morning-half	np:other	np		other		
