corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
jinghpaw	dwi	0001	#	#	#nc	#nc				
jinghpaw	dwi	0001	Maumwi-gabaw	story-title	nc	nc				
jinghpaw	dwi	0001	=gaw	=TOP	nc	nc				
jinghpaw	dwi	0001	jahkrai-ma	orphan-child	nc	nc				
jinghpaw	dwi	0001	hkan	3DU	nc	nc				
jinghpaw	dwi	0001	dwi	grandmother	nc	nc				
jinghpaw	dwi	0001	=a	=GEN	nc	nc				
jinghpaw	dwi	0001	lam	story	nc	nc				
jinghpaw	dwi	0001	nga	say	nc	nc				
jinghpaw	dwi	0001	re	COP	nc	nc				
jinghpaw	dwi	0002	#	#	##	##				
jinghpaw	dwi	0002	Moi	long.ago	np:other	np		other		
jinghpaw	dwi	0002	kalang	once	np:other	np		other		
jinghpaw	dwi	0002	mi	one	rn_qfr	rn_qfr				
jinghpaw	dwi	0002	=hta	=LOC	=rn	=rn				
jinghpaw	dwi	0002	=da	=HS	=other	=other				
jinghpaw	dwi	0002	ndai	well	other	other				
jinghpaw	dwi	0003	mare	village	np:l	np		l	201	new
jinghpaw	dwi	0003	langai	one	rn_qfr	rn_qfr				
jinghpaw	dwi	0003	mi	one	rn_qfr	rn_qfr				
jinghpaw	dwi	0003	=kaw	=LOC	=rn	=rn				
jinghpaw	dwi	0003	=she	=then	=other	=other				
jinghpaw	dwi	0003	ndai	well	other	other				
jinghpaw	dwi	0003	jahkrai-ma	orphan-child	ln_np.h	ln_np	h		202	new
jinghpaw	dwi	0003	hkan	both	ln_qfr	ln_qfr				
jinghpaw	dwi	0003	dwi	grandmother	np.h:s	np	h	s	203	new
jinghpaw	dwi	0003	lahkawng	two	rn_qfr	rn_qfr				
jinghpaw	dwi	0003	nga	live	v:pred	v		pred		
jinghpaw	dwi	0003	=ai	=DECL	=rv	=rv				
jinghpaw	dwi	0003	=da	=HS	=other	=other				
jinghpaw	dwi	0004	#	#	##	##				
jinghpaw	dwi	0004	shan	3DU	nc	nc				
jinghpaw	dwi	0004	dwi	grandmother	nc_np.h	nc_np	h		204	bridging
jinghpaw	dwi	0004	dai	that	dem_pro.h:s	dem_pro	h	s	202	
jinghpaw	dwi	0004	lasha-wa	man-man	nc	nc				
jinghpaw	dwi	0004	re	COP	nc	nc				
jinghpaw	dwi	0004	lasha	man	np.h:pred	np	h	pred		
jinghpaw	dwi	0004	re	COP	cop	cop				
jinghpaw	dwi	0004	=ai	=DECL	=rv	=rv				
jinghpaw	dwi	0004	=da	=HS	=other	=other				
jinghpaw	dwi	0005	#	#	##	##				
jinghpaw	dwi	0005	rai	COP	other	other				
jinghpaw	dwi	0005	=na	=SEQ	=other	=other				
jinghpaw	dwi	0005	=she	=then	=other	=other				
jinghpaw	dwi	0005	shan	3DU	ln_pro.h	ln_pro	h			
jinghpaw	dwi	0005	dwi	grandmother	np.h:s	np	h	s	204	
jinghpaw	dwi	0005	=gaw	=TOP	=other	=other				
jinghpaw	dwi	0005	matsan	be.poor	lv	lv				
jinghpaw	dwi	0005	=ma	=also	=other	=other				
jinghpaw	dwi	0005	grai	very	other	other				
jinghpaw	dwi	0005	matsan	be.poor	v:pred	v		pred		
jinghpaw	dwi	0005	=ai	=DECL	=rv	=rv				
jinghpaw	dwi	0006	#	#	##neg	##neg				
jinghpaw	dwi	0006	re	COP	other	other				
jinghpaw	dwi	0006	yang	when	other	other				
jinghpaw	dwi	0006	=she	=then	=other	=other				
jinghpaw	dwi	0006	masha	person	ln_np.h:poss	ln_np	h	poss		
jinghpaw	dwi	0006	=ni	=PL	=ln	=ln				
jinghpaw	dwi	0006	=na	=GEN	=ln	=ln				
jinghpaw	dwi	0006	zawn	like	np:other	np		other		
jinghpaw	dwi	0006	ndai	well	other	other				
jinghpaw	dwi	0006	ahpraw-nsam	appearance-color	np:s	np		s	206	bridging
jinghpaw	dwi	0006	=mung	=also	=other	=other				
jinghpaw	dwi	0006	n-tsawm	NEG-be.beautiful	v:pred	v		pred		
jinghpaw	dwi	0006	=ai	=DECL	=rv	=rv				
jinghpaw	dwi	0006	=i	=SFP	=other	=other				
jinghpaw	dwi	0007	#	#	##	##				
jinghpaw	dwi	0007	shan	skin	np:s	np		s	207	bridging
jinghpaw	dwi	0007	=mung	=also	=other	=other				
jinghpaw	dwi	0007	chyang-chyang	be.black-RED	v:pred	v		pred		
jinghpaw	dwi	0007	dai	that	dem_pro:other	dem_pro		other		
jinghpaw	dwi	0007	=hku	=like	=rn	=rn				
jinghpaw	dwi	0007	re	COP	other	other				
jinghpaw	dwi	0007	=na	=SEQ	=other	=other				
jinghpaw	dwi	0007	#	#	##neg	##neg				
jinghpaw	dwi	0007	ahpraw-nsam	appearance-color	np:s	np		s	206	
jinghpaw	dwi	0007	=mung	=also	=other	=other				
jinghpaw	dwi	0007	n-tsawm	NEG-be.beautiful	v:pred	v		pred		
jinghpaw	dwi	0007	=ai	=DECL	=rv	=rv				
jinghpaw	dwi	0008	#	#	##neg	##neg				
jinghpaw	dwi	0008	0	0	0.h:a	0	h	a	204	
jinghpaw	dwi	0008	e	INTJ	other	other				
jinghpaw	dwi	0008	dan	thus	other	other				
jinghpaw	dwi	0008	re	COP	other	other				
jinghpaw	dwi	0008	hpaji	knowledge	np:p	np		p	208	new
jinghpaw	dwi	0008	=mung	=also	=other	=other				
jinghpaw	dwi	0008	n-chye	NEG-know	v:pred	v		pred		
jinghpaw	dwi	0008	=ai	=DECL	=rv	=rv				
jinghpaw	dwi	0008	re	COP	other	other				
jinghpaw	dwi	0009	#	#	##	##				
jinghpaw	dwi	0009	dai	that	nc	nc				
jinghpaw	dwi	0009	lahkawng	two	nc	nc				
jinghpaw	dwi	0009	hkan	3DU	ln_pro.h	ln_pro	h			
jinghpaw	dwi	0009	dwi	grandmother	np.h:s	np	h	s	204	
jinghpaw	dwi	0009	lahkawng	two	rn_qfr	rn_qfr				
jinghpaw	dwi	0009	nga	live	v:pred	v		pred		
jinghpaw	dwi	0009	=ai	=DECL	=rv	=rv				
jinghpaw	dwi	0009	=da	=HS	=other	=other				
jinghpaw	dwi	0010	#	#	##neg	##neg				
jinghpaw	dwi	0010	mare	village	np.h:a	np	h	a	209	bridging
