ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,refind,refindFK,isnref
chyeju_0001,mcjinghpaw,maumwi gabaw gaw chyahkyawn hte hka u a lam nga rai nga.,#	maumwi-gabaw	=gaw	chyahkyawn	=hte	hka-u	=a	lam	nga	rai	nga,#	story-title	=TOP	wolf	=COM	water-bird	=GEN	story	call	COP	be,"The title of the story is called ""The wolf and the water bird.""",en,MORPHEME_ALIGNED,,chyeju_mp3 chyeju_wav chyeju_eaf chyeju_xml chyeju_tsv,,0,5325,#nc	nc	nc	nc	nc	nc	nc	nc	nc	nc	nc,,chyeju,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
chyeju_0002,mcjinghpaw,kalang mi hta sha ndai chyahkyawn gaw shi gaw hka sa lu ai nga yang she,#	kalang	mi	=hta	=sha	ndai	chyahkyawn	=gaw	shi	=gaw	hka	sa	lu	=ai	nga	yang	=she,#	once	one	=LOC	=only	well	wolf	=TOP	3SG	=TOP	water	go	drink	=DECL	LV	when	=then,"Once upon a time, well, a wolf went to drink water and",en,MORPHEME_ALIGNED,,chyeju_mp3 chyeju_wav chyeju_eaf chyeju_xml chyeju_tsv,,5325,11159,##	np:other	rn_qfr	=rn	=other	other	np.d:dt_a	=other	pro.d:a	=other	np:p	lv	v:pred	=rv	other	other	=other,,chyeju,∅	∅	∅	∅	∅	∅	101	∅	101	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	101	∅	101	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
chyeju_0003,mcjinghpaw,le hka kaw she nga ni wa she le pyau taw nga.,#	le	hka	=kaw	=she	nga	=ni	=wa	=she	le	pyau	=taw-nga,#	down.there	water	=LOC	=then	fish	=PL	=TOP	=then	down.there	flit	=CONT-CONT,fish were flitting down there in the river.,en,MORPHEME_ALIGNED,,chyeju_mp3 chyeju_wav chyeju_eaf chyeju_xml chyeju_tsv,,11159,14252,##	ln_dem	np:dt_l	=rn	=other	np:s	=rn	=other	=other	dem_pro:l	v:pred	=aux,,chyeju,∅	∅	102	∅	∅	103	∅	∅	∅	102	∅	∅,∅	∅	102	∅	∅	103	∅	∅	∅	102	∅	∅,∅	∅	bridging	∅	∅	new	∅	∅	∅	∅	∅	∅
chyeju_0004,mcjinghpaw,grai pyaw grai pyaw taw na nga taw hpe mu yang she,#	#	#	0	grai	pyaw	grai	pyaw	=taw	=na	%	0	nga	=taw	%	=hpe	0	mu	yang	=she,#	#	#	0	very	be.happy	very	be.happy	=CONT	=SEQ	%	0	be	=CONT	%	=ACC	0	see	when	=then,(The wolf) saw the situation where (fish) were living happily and,en,MORPHEME_ALIGNED,,chyeju_mp3 chyeju_wav chyeju_eaf chyeju_xml chyeju_tsv,,14252,16507,##	#cc:p	#ac	0:s	nc	nc	other	v:pred	=aux	=other	%	0:s	v:pred	=aux	%	=rn	0.d:a	v:pred	other	=other,,chyeju,∅	∅	∅	103	∅	∅	∅	∅	∅	∅	∅	103	∅	∅	∅	∅	101	∅	∅	∅,∅	∅	∅	103	∅	∅	∅	∅	∅	∅	∅	103	∅	∅	∅	∅	101	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
chyeju_0005,mcjinghpaw,shi gaw grai sha mayu sai.,#	0	shi	=gaw	grai	sha	=mayu	=s-ai,#	0	3SG	=TOP	very	eat	=DESID	=CSM-DECL,he wanted to eat (them) very much.,en,MORPHEME_ALIGNED,,chyeju_mp3 chyeju_wav chyeju_eaf chyeju_xml chyeju_tsv,,16507,17887,##	0:p	pro.d:a	=other	other	v:pred	=aux	=rv,,chyeju,∅	103	101	∅	∅	∅	∅	∅,∅	103	101	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅
chyeju_0006,mcjinghpaw,myit kaw gaw grai sha mayu ai raitim mung,#	0	0	myit	=kaw	=gaw	grai	sha	=mayu	=ai	raitim	=mung,#	0	0	mind	=LOC	=TOP	very	eat	=DESID	=DECL	but	=also,(He) wanted to eat (them) very much in his mind but,en,MORPHEME_ALIGNED,,chyeju_mp3 chyeju_wav chyeju_eaf chyeju_xml chyeju_tsv,,17887,19446,##	0.d:a	0:p	np:other	=rn	=other	other	v:pred	=aux	=rv	other	=other,,chyeju,∅	101	103	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	101	103	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
chyeju_0007,mcjinghpaw,shi gaw hka kaw n lu shang ai,#	shi	=gaw	hka	=kaw	n-lu	shang	=ai,#	3SG	=TOP	water	=LOC	NEG-POS	enter	=DECL,he could not enter into the water.,en,MORPHEME_ALIGNED,,chyeju_mp3 chyeju_wav chyeju_eaf chyeju_xml chyeju_tsv,,19446,20888,##neg	pro.d:s	=other	np:g	=rn	lv	v:pred	=rv,,chyeju,∅	101	∅	102	∅	∅	∅	∅,∅	101	∅	102	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅
chyeju_0008,mcjinghpaw,shi gaw shanhte gaw hka n lu shang ai majaw,#	shi	=gaw	shanhte	=gaw	hka	n-lu	shang	=ai	majaw,#	3SG	=TOP	3PL	=TOP	water	NEG-POS	enter	=DECL	because,Because they (wolves) cannot enter into the water,en,MORPHEME_ALIGNED,,chyeju_mp3 chyeju_wav chyeju_eaf chyeju_xml chyeju_tsv,,20888,22343,##neg	nc_pro.h	nc	pro.d:s	=other	np:g	lv	v:pred	=rv	other,,chyeju,∅	101	∅	∅	∅	∅	∅	∅	∅	∅,∅	101	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
chyeju_0009,mcjinghpaw,grai sha mayu ai hpe sharang na she,#	#	0	0	grai	sha	=mayu	=ai	%	=hpe	0	sharang	=na	=she,#	#	0	0	very	eat	=DESID	=DECL.NMLZ	%	=ACC	0	endure	=SEQ	=then,He put up with (his) wanting to eat (them) very much and,en,MORPHEME_ALIGNED,,chyeju_mp3 chyeju_wav chyeju_eaf chyeju_xml chyeju_tsv,,22343,24066,##	#cc:p	0.d:a	0:p	other	v:pred	=aux	=rv	%	=rn	0.d:a	v:pred	=other	=other,,chyeju,∅	∅	101	103	∅	∅	∅	∅	∅	∅	101	∅	∅	∅,∅	∅	101	103	∅	∅	∅	∅	∅	∅	101	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
chyeju_0010,mcjinghpaw,dai hku nyau nyau re nga hkawm taw nga yang she,#	0	dai	=hku	nyau-nyau	re	nga	hkawm	=taw-nga	yang	=she,#	0	that	=like	cat-RED	LV	be	walk	=CONT-CONT	when	=then,(he) had a slinky walk like a cat like this and,en,MORPHEME_ALIGNED,,chyeju_mp3 chyeju_wav chyeju_eaf chyeju_xml chyeju_tsv,,24066,25796,##	0.d:s	dem_pro:other	=rn	other	other	lv	v:pred	=aux	other	=other,,chyeju,∅	101	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	101	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
