corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
jinghpaw	ganu	0001	#	#	#nc	#nc				
jinghpaw	ganu	0001	Dai-ni	this-day	nc	nc				
jinghpaw	ganu	0001	=gaw	=TOP	nc	nc				
jinghpaw	ganu	0001	2017-ning	2017-year	nc	nc				
jinghpaw	ganu	0001	January-shata	January-month	nc	nc				
jinghpaw	ganu	0001	15-ya	15-day	nc	nc				
jinghpaw	ganu	0001	rai	COP	nc	nc				
jinghpaw	ganu	0001	=nga	=CONT	nc	nc				
jinghpaw	ganu	0001	=ai	=DECL	nc	nc				
jinghpaw	ganu	0002	#	#	#nc	#nc				
jinghpaw	ganu	0002	ya	now	nc	nc				
jinghpaw	ganu	0002	ngai	1SG	nc	nc				
jinghpaw	ganu	0002	hkai	tell	nc	nc				
jinghpaw	ganu	0002	=dan	=CON	nc	nc				
jinghpaw	ganu	0002	=na	=IRR.NMLZ	nc	nc				
jinghpaw	ganu	0002	maumwi	tale	nc	nc				
jinghpaw	ganu	0002	=gaw	=TOP	nc	nc				
jinghpaw	ganu	0002	gaida-gasha	widow-child	nc	nc				
jinghpaw	ganu	0002	=a	=GEN	nc	nc				
jinghpaw	ganu	0002	lam	way	nc	nc				
jinghpaw	ganu	0002	ngu	call	nc	nc				
jinghpaw	ganu	0002	=ai	=DECL.NMLZ	nc	nc				
jinghpaw	ganu	0002	rai	COP	nc	nc				
jinghpaw	ganu	0002	=nga	=CONT	nc	nc				
jinghpaw	ganu	0002	=ai	=DECL	nc	nc				
jinghpaw	ganu	0003	#	#	##	##				
jinghpaw	ganu	0003	Moi	long.ago	np:other	np		other		
jinghpaw	ganu	0003	kalang-mi	once-one	np:other	np		other		
jinghpaw	ganu	0003	=na	=GEN	=rn	=rn				
jinghpaw	ganu	0003	=hta	=LOC	=rn	=rn				
jinghpaw	ganu	0003	mare	village	np:l	np		l	401	new
jinghpaw	ganu	0003	langai-mi	one-one	rn_qfr	rn_qfr				
jinghpaw	ganu	0003	=kaw	=LOC	=rn	=rn				
jinghpaw	ganu	0003	=i	=SFP	=other	=other				
jinghpaw	ganu	0004	#	#	#rc	#rc				
jinghpaw	ganu	0004	0	0	rel_f0.h:s	rel_f0	h	s	403	new
jinghpaw	ganu	0004	grai	very	other	other				
jinghpaw	ganu	0004	matsan	be.poor	v:pred	v		pred		
jinghpaw	ganu	0004	=ai	=DECL.NMLZ	=rv	=rv				
jinghpaw	ganu	0004	%	%	%	%				
jinghpaw	ganu	0004	gaida	widow	ln_np	ln_np				
jinghpaw	ganu	0004	hkan	3DU	ln_pro.h	ln_pro	h			
jinghpaw	ganu	0004	nu	mother	np.h:s	np	h	s	403	
jinghpaw	ganu	0004	lahkawng	two	rn_qfr	rn_qfr				
jinghpaw	ganu	0004	nga	live	v:pred	v		pred		
jinghpaw	ganu	0004	=ai	=DECL	=rv	=rv				
jinghpaw	ganu	0005	#	#	##	##				
jinghpaw	ganu	0005	Ganu	mother	np.h:a	np	h	a	403	bridging
jinghpaw	ganu	0005	=gaw	=TOP	=other	=other				
jinghpaw	ganu	0005	#	#	#ac	#ac				
jinghpaw	ganu	0005	0	0	0.h:s	0	h	s	403	
jinghpaw	ganu	0005	grai	very	other	other				
jinghpaw	ganu	0005	matsan	be.poor	vother:pred	vother		pred		
jinghpaw	ganu	0005	let	SIM	other	other				
jinghpaw	ganu	0005	=sha	=only	=other	=other				
jinghpaw	ganu	0005	%	%	%	%				
jinghpaw	ganu	0005	grai	very	other	other				
jinghpaw	ganu	0005	gasha	child	np.h:p	np	h	p	404	bridging
jinghpaw	ganu	0005	=hpe	=ACC	=rn	=rn				
jinghpaw	ganu	0005	bau-maka	take.care.of-take.care.of	v:pred	v		pred		
jinghpaw	ganu	0005	=ai	=DECL	=rv	=rv				
jinghpaw	ganu	0006	#	#	##	##				
jinghpaw	ganu	0006	Lani-mi	one.day-one	np:other	np		other		
jinghpaw	ganu	0006	=na	=GEN	=rn	=rn				
jinghpaw	ganu	0006	aten	time	np:other	np		other	405	new
jinghpaw	ganu	0006	=hta	=LOC	=rn	=rn				
jinghpaw	ganu	0006	shanhte	3PL	pro.h:a	pro	h	a	406	bridging
jinghpaw	ganu	0006	mare	village	np.h:appos	np	h	appos	406	
jinghpaw	ganu	0006	=kaw	=LOC	=rn	=rn				
jinghpaw	ganu	0006	=na	=GEN	=rn	=rn				
jinghpaw	ganu	0006	=ni	=PL	=rn	=rn				
jinghpaw	ganu	0006	=gaw	=TOP	=other	=other				
jinghpaw	ganu	0006	=i	=SFP	=other	=other				
jinghpaw	ganu	0007	ah	well	other	other				
jinghpaw	ganu	0007	nga-nawng-htawk-poi	fish-pond-scoop.up-festival	np:p	np		p	407	new
jinghpaw	ganu	0007	#	#	#nc	#nc				
jinghpaw	ganu	0007	nga-nawng	fish-pond	nc_np	nc_np			408	bridging
jinghpaw	ganu	0007	htawk	scoop.up	nc	nc				
jinghpaw	ganu	0007	=ai	=DECL.NMLZ	nc	nc				
jinghpaw	ganu	0007	#	#	#nc	#nc				
jinghpaw	ganu	0007	dai	that	nc	nc				
jinghpaw	ganu	0007	nhtoi	day	nc_np	nc_np			405	
jinghpaw	ganu	0007	ngu	call	nc	nc				
jinghpaw	ganu	0007	=ai	=DECL.NMLZ	nc	nc				
jinghpaw	ganu	0007	%	%	%	%				
jinghpaw	ganu	0007	dai	that	nc	nc				
jinghpaw	ganu	0007	nhtoi	day	nc_np	nc_np			405	
jinghpaw	ganu	0007	galaw	do	v:pred	v		pred		
jinghpaw	ganu	0007	=ya	=BEN	=aux	=aux				
jinghpaw	ganu	0007	=ai	=DECL	=rv	=rv				
jinghpaw	ganu	0008	#	#	##	##				
jinghpaw	ganu	0008	0	0	0.h:a	0	h	a	406	
jinghpaw	ganu	0008	#	#	#rc	#rc				
jinghpaw	ganu	0008	0	0	rel_f0:other	rel_f0		other	407	
jinghpaw	ganu	0008	mare	village	np.h:a	np	h	a	406	
jinghpaw	ganu	0008	ting	whole	rn_qfr	rn_qfr				
jinghpaw	ganu	0008	nga-nawng	fish-pond	np:p	np		p	408	
jinghpaw	ganu	0008	jawm	do.together	lv	lv				
jinghpaw	ganu	0008	htawk	pick.up	v:pred	v		pred		
jinghpaw	ganu	0008	=ai	=DECL.NMLZ	=rv	=rv				
jinghpaw	ganu	0008	%	%	%	%				
jinghpaw	ganu	0008	nhtoi-lamang	day-program	np:p	np		p	407	
jinghpaw	ganu	0008	langai	one	rn_qfr	rn_qfr				
jinghpaw	ganu	0008	galaw	do	v:pred	v		pred		
jinghpaw	ganu	0008	=ya	=BEN	=aux	=aux				
jinghpaw	ganu	0008	=ai	=DECL	=rv	=rv				
jinghpaw	ganu	0008	=da	=HS	=other	=other				
jinghpaw	ganu	0009	#	#	##	##				
jinghpaw	ganu	0009	0	0	0:g	0		g	407	
jinghpaw	ganu	0009	Dai	that	ln_dem	ln_dem				
jinghpaw	ganu	0009	shaloi	time	np:other	np		other	405	
jinghpaw	ganu	0009	mare	village	np.h:s	np	h	s	406	
jinghpaw	ganu	0009	ting	whole	rn_qfr	rn_qfr				
jinghpaw	ganu	0009	mai	be.OK	lv	lv				
jinghpaw	ganu	0009	sa	go	v:pred	v		pred		
jinghpaw	ganu	0009	=ai	=DECL	=rv	=rv				
jinghpaw	ganu	0010	#	#	##	##				
jinghpaw	ganu	0010	0	0	0:g	0		g	407	
jinghpaw	ganu	0010	Gadai	who	np.h:s	np	h	s		
jinghpaw	ganu	0010	tim	but	other	other				
jinghpaw	ganu	0010	mai	be.OK	lv	lv				
jinghpaw	ganu	0010	sa	go	v:pred	v		pred		
jinghpaw	ganu	0010	=ai	=DECL	=rv	=rv				
jinghpaw	ganu	0011	#	#	##	##				
jinghpaw	ganu	0011	0	0	0.h:s	0	h	s	406	
jinghpaw	ganu	0011	0	0	0:g	0		g	407	
jinghpaw	ganu	0011	Dai	that	ln_dem	ln_dem				
jinghpaw	ganu	0011	shaloi	time	np:other	np		other	405	
jinghpaw	ganu	0011	sa	go	v:pred	v		pred		
jinghpaw	ganu	0011	=ai	=DECL	=rv	=rv				
jinghpaw	ganu	0011	shaloi	when	other	other				
jinghpaw	ganu	0012	#	#	##	##				
jinghpaw	ganu	0012	0	0	0:g	0		g	407	
jinghpaw	ganu	0012	gaida-gasha	widow-child	ln_np	ln_np				
jinghpaw	ganu	0012	hkan	3DU	ln_pro.h	ln_pro	h			
jinghpaw	ganu	0012	nu	mother	np.h:s	np	h	s	402	
jinghpaw	ganu	0012	=mung	=also	=other	=other				
jinghpaw	ganu	0012	sa	go	v:pred	v		pred		
jinghpaw	ganu	0012	=ai	=DECL	=rv	=rv				
jinghpaw	ganu	0012	=da	=HS	=other	=other				
jinghpaw	ganu	0013	#	#	##	##				
jinghpaw	ganu	0013	Dai	that	ln_dem	ln_dem				
jinghpaw	ganu	0013	shaloi	time	np:other	np		other	405	
jinghpaw	ganu	0013	gaida-gasha	widow-child	np.h:a	np	h	a	404	
jinghpaw	ganu	0013	=gaw	=TOP	=other	=other				
jinghpaw	ganu	0013	#	#	#ac	#ac				
jinghpaw	ganu	0013	shi	3SG	pro.h:s	pro	h	s	404	
jinghpaw	ganu	0013	=gaw	=TOP	=other	=other				
jinghpaw	ganu	0013	shabrang-la	youth-man	np:pred	np		pred		
jinghpaw	ganu	0013	re	COP	cop	cop				
jinghpaw	ganu	0013	majaw	because	other	other				
jinghpaw	ganu	0013	=gaw	=TOP	=other	=other				
jinghpaw	ganu	0013	=i	=SFP	=other	=other				
jinghpaw	ganu	0013	%	%	%	%				
jinghpaw	ganu	0014	nga	fish	np:p	np		p	410	bridging
jinghpaw	ganu	0014	gaba	big	rn_adj	rn_adj				
jinghpaw	ganu	0014	=ni	=PL	=rn	=rn				
jinghpaw	ganu	0014	grai	very	other	other				
jinghpaw	ganu	0014	law	be.many	other	other				
jinghpaw	ganu	0014	hkra	till	other	other				
jinghpaw	ganu	0014	lu	get	lv	lv				
jinghpaw	ganu	0014	rim	catch	v:pred	v		pred		
jinghpaw	ganu	0014	=ai	=DECL	=rv	=rv				
jinghpaw	ganu	0014	=da	=HS	=other	=other				
